Serial No._cnd,Job Title_cnd,Job Description_cnd,Skillset_cnd,Projects_cnd
1,Cybersecurity Analyst,"Monitors, detects, and responds to security threats within an organization’s systems; analyzes vulnerabilities and implements protections.","Network security, SIEM (Splunk/ELK), Threat detection, Incident response, Linux/Windows security","SIEM dashboard, Attack log analysis, Vulnerability scan, Incident response plan, Security audit"
2,Ethical Hacker,Simulates cyberattacks to identify system vulnerabilities before malicious actors can exploit them.,"Penetration testing, Networking, Kali Linux, Exploit frameworks, Web security (OWASP)","Web app penetration test, Vulnerability report, Phishing simulation, Lab exploitation, Bug bounty report"
3,Network Security Engineer,"Designs and implements secure network architectures, including firewalls, VPNs, and intrusion detection systems.","TCP/IP, Firewalls, IDS/IPS, VPN configuration, Security architecture","Secure network design, Firewall rule configuration, VPN system build, Traffic analysis, IDS setup"
4,SOC Analyst,Monitors and responds to real-time security incidents in an organization’s network environment.,"SIEM tools, Log analysis, Threat intelligence, Incident response, Security monitoring","SOC simulation, Log analysis system, Threat detection rules, Response workflow, Monitoring dashboard"
5,Application Security Engineer,Ensures software applications are secure by identifying and fixing vulnerabilities in source code.,"Secure coding, OWASP Top 10, Code review, Static/Dynamic analysis, Python/Java","Secure app development, Code vulnerability analysis, Authentication system, XSS/SQL testing, Security checklist"
6,Cloud Security Engineer,"Protects cloud infrastructure, ensuring secure deployment, access control, and data integrity.","AWS/Azure/GCP, IAM, Encryption, DevSecOps, Cloud networking","Secure cloud architecture, IAM implementation, Cloud monitoring, Encryption system, Security audit"
7,Digital Forensics Analyst,"Investigates cyber incidents by collecting, preserving, and analyzing digital evidence for reports.","Forensic tools, Data recovery, Investigation, File systems, Legal procedures","Disk analysis, Malware investigation, Log tracing, Evidence report, Case simulation"
8,Information Security Analyst,"Protects organizational data by implementing security policies, risk controls, and compliance frameworks.","Risk management, Security frameworks, Policy creation, Monitoring, Compliance","Security policy, Risk assessment, Data protection plan, Audit, Risk dashboard"
9,Malware Analyst,"Studies malicious software to understand its behavior, origin, and how to develop effective defenses.","Reverse engineering, Assembly, Sandboxing, Threat analysis, Programming","Malware reverse engineering, Sandbox setup, Behavior report, Detection system, Case study"
10,Security Consultant,Advises organizations on improving their overall cybersecurity posture and risk management strategies.,"Security strategy, Risk analysis, Compliance, Communication, Technical auditing","Security assessment, Risk report, Improvement roadmap, Audit, Strategy presentation"
11,Incident Response Specialist,"Manages active security incidents, conducts deep investigations, and restores compromised systems.","Incident response, Threat analysis, Forensics, Communication, Recovery","Incident simulation, Response plan, Log analysis, Recovery playbook, Post-incident report"
12,Threat Intelligence Analyst,Analyzes emerging cyber threats and attacker behavior to proactively defend against future attacks.,"Threat intel tools, OSINT, Data analysis, Reporting, Cybersecurity","Threat actor analysis, Intelligence reporting, Attack mapping, Threat dashboard, Case study"
13,Cryptography Engineer,Designs and implements encryption systems to secure sensitive data and communications.,"Cryptography, Encryption algorithms, Mathematics, Programming, PKI","Encryption system build, Secure messaging, Key management, Algorithm analysis, Implementation"
14,IAM Specialist,"Manages user identities and strict access control systems to ensure ""least privilege"" access.","IAM tools, Authentication, Authorization, Security policy, Cloud identity","IAM system build, Role-based access control, Authentication system, Identity audit, Access dashboard"
15,Security Automation Engineer,Builds automated security workflows and scripts to accelerate threat detection and response.,"Python, Automation, APIs, SIEM integration, DevOps","Automation scripts, Security alert system, API integration, Automated workflow, Automation dashboard"
16,DevSecOps Engineer,Integrates security practices and tools into the software development and deployment pipelines (CI/CD).,"DevOps, Security scanning tools, CI/CD, Cloud, Automation","Secure CI/CD pipeline, Automated code scanning, Monitoring integration, Secure deployment"
17,Vulnerability Analyst,"Systematically identifies, classifies, and assesses vulnerabilities across organizational IT assets.","Scanning tools, Risk assessment, Networking, Trend analysis, Reporting","Vulnerability scan, Risk assessment report, Patch management plan, Vulnerability dashboard, Trend analysis"
18,Red Team Specialist,"Conducts full-scope, real-world attack simulations to test an organization’s defensive capabilities.","Pen testing, Social engineering, Networking, Exploit development, Strategy","Attack simulation, Exploit framework system, Red team report, Testing strategy, Testing logs"
19,Blue Team Specialist,"Focuses on defensive security, system hardening, and continuous monitoring to stop attacks.","Monitoring, SIEM, Incident response, Forensic analysis, System hardening","Defense system build, Security monitoring, Traffic analysis, Defense dashboard, Incident response"
20,Security Compliance Analyst,"Ensures all systems and processes meet necessary legal, regulatory, and industry security standards.","Compliance, Auditing, Documentation, Risk controls, Standards (ISO/NIST)","Compliance audit, Security checklist, Compliance report, Audit dashboard, Gap analysis"
21,Firewall Engineer,"Designs, configures, and manages enterprise firewall systems for network perimeter defense.","Firewall technologies (Cisco/Palo Alto), Network security, Rule configuration, Troubleshooting","Firewall rule configuration, Attack simulation, Firewall monitoring dashboard, Traffic filtering, Security audit"
22,Security Architect,"Creates high-level security architecture designs that are scalable, secure, and aligned with business goals.","Security frameworks, Architecture design, Risk management, Cloud security, Networking","Security architecture design, Risk assessment model, Zero-trust architecture, Cloud security design, Documentation"
23,Wireless Security Specialist,"Secures wireless networks against unauthorized access, eavesdropping, and signal-based attacks.","Wireless protocols, Encryption, Network analysis, Pen testing, Monitoring","Secure Wi-Fi setup, Wireless attack simulation, Encryption implementation, Monitoring system, Analysis report"
24,Security Software Developer,"Develops custom security-focused software tools, plugins, and applications.","Programming, Secure coding, APIs, Cryptography, Testing","Security tool development, Secure API, Authentication system, Code vulnerability analysis, Unit testing"
25,Endpoint Security Specialist,"Protects end-user devices (laptops, mobiles, servers) using specialized security software and policies.","Endpoint protection (EDR/XDR), Antivirus, Monitoring, Threat detection, OS security","Endpoint protection deployment, Threat detection system, Monitoring dashboard, Security policy, Analysis"
26,Security Auditor,Performs independent reviews of security systems and processes to ensure integrity and compliance.,"Auditing, Compliance, Risk analysis, Documentation, Reporting","Security audit, Risk management report, Audit checklist, Analysis, Recommendations"
27,Web/App Pen Testing Engineer,Specializes in the testing of web applications and APIs for security flaws.,"Web security, OWASP Top 10, Exploitation tools, Analysis","Web application testing, Vulnerability report, Exploit testing, Security remediation, Web dashboard"
28,Network Forensics Analyst,Performs packet-level analysis on network traffic to identify and trace cyber incidents.,"Network protocols, Packet analysis, Tools (Wireshark), Investigation","Packet capture/analysis, Traffic monitoring, Incident tracing, Network report, Traffic dashboard"
29,Data Security Specialist,"Implements controls such as encryption, masking, and access rights to protect sensitive information.","Data protection, Encryption, Compliance, Access control, Monitoring","Data encryption system, Data access control, Database monitoring, Risk analysis, Data security dashboard"
30,Cybersecurity Trainer,Designs and delivers training programs to improve the security knowledge of technical and non-technical staff.,"Pedagogy, Cybersecurity knowledge, Communication, Content creation","Training module design, Security awareness program, Training assessment, Knowledge dashboard, Feedback loop"
31,Reverse Engineer,"Deconstructs software to understand logic, often used to analyze malware or discover undocumented APIs.","Reverse engineering, Assembly, Debugging tools, Analysis","Reverse engineering project, Malware disassembly, Behavior report, Tool setup, Case study"
32,Security Risk Analyst,"Evaluates security risks, quantifies impact, and recommends mitigation strategies for management.","Risk assessment, Analysis, Reporting, Frameworks (FAIR/NIST)","Risk model creation, Security assessment, Executive risk report, Risk dashboard, Mitigation plan"
33,Mobile Security Specialist,Secures mobile applications and OS environments against mobile-specific vulnerabilities.,"Mobile OS (iOS/Android), App security, Testing, Analysis","Mobile app testing, Mobile security analysis, Vulnerability report, Fix implementation, Security dashboard"
34,ICS/SCADA Security Engineer,Protects industrial control systems and critical infrastructure from cyber threats.,"SCADA systems, OT security, Networking, Risk management","SCADA security model, Monitoring system, Operational risk analysis, Security simulation, OT report"
35,Security Researcher,Conducts high-level research into emerging threats and develops new security methodologies.,"Research, Cybersecurity, Analysis, Programming","Threat research paper, Security tool development, Deep threat analysis, Research report"
36,Zero Trust Security Engineer,"Implements architectures that assume zero trust, requiring verification for every access attempt.","Zero trust frameworks, IAM, Networking, Security architecture","Zero trust model implementation, Access control configuration, Monitoring, Security dashboard, Compliance report"
37,Cybersecurity Product Manager,"Manages the lifecycle of security products, ensuring features meet market and technical security needs.","Product management, Security domain, UX, Analytics","Product roadmap, MVP development, User research, Security feature prioritization, Product dashboard"
38,Security Dev Tester,Utilizes static (SAST) and dynamic (DAST) analysis tools to find bugs in the development lifecycle.,"Testing tools, Code analysis, Security best practices","SAST testing implementation, DAST testing suite, Security report, Vulnerability remediation, Testing dashboard"
39,Insider Threat Analyst,Uses behavioral analytics to detect and prevent malicious or accidental threats from internal employees.,"Monitoring, Behavioral analysis, Data analysis, Reporting","Insider threat model, User behavior monitoring, Threat analysis, Threat dashboard, Reporting"
40,Security Operations Manager,"Manages the day-to-day operations of security teams, coordinating resources and strategy.","Leadership, Security operations, Strategy, Communication","Operations planning, Team structure management, Security dashboard, Strategy execution, Executive report"
41,Blockchain Security Specialist,"Focuses on the security of distributed ledgers, smart contracts, and decentralized applications.","Blockchain, Smart contracts, Security auditing, Cryptography","Smart contract audit, Blockchain network security, Vulnerability analysis, Research report, Custom security tool"
42,Threat Hunter,Proactively searches for potential compromises that have evaded detection systems.,"Threat hunting, Data analysis, Advanced tools, Investigation","Threat hunting mission, Advanced analysis, Investigation report, Threat dashboard, Case study"
43,Cybersecurity Data Analyst,Leverages data analytics and visualization to turn security logs into actionable intelligence.,"Data analysis, Python/SQL, Security domain, Visualization","Security dataset mining, Security dashboard, Data-driven analysis, Detection model, Reporting"
44,Security Awareness Specialist,Creates campaigns to drive organizational security culture and reduce human-error risks.,"Communication, Training platforms, Security best practices","Security awareness campaign, Employee training, Security assessment, Training dashboard, Feedback analysis"
45,Cyber Law Specialist,"Advises on legal risks, data protection statutes (GDPR, etc.), and compliance requirements.","Cyber law, Compliance, Documentation, Analysis","Legal analysis, Compliance system implementation, Legal report, Case study, Framework mapping"
46,Bug Bounty Hunter,Independently identifies and reports security flaws in public programs for financial reward.,"Ethical hacking, Web security, Vulnerability testing, Reporting","Bug hunting project, Vulnerability reporting, Exploit testing, Exploit documentation, Bounty dashboard"
47,Security Infrastructure Engineer,Designs and maintains the core IT infrastructure used to host security services and tools.,"Infrastructure management, Security integration, Networking, Cloud","Secure infrastructure setup, Security tool integration, System monitoring, Infrastructure dashboard, Report"
48,Cyber Defense Analyst,Employs defensive strategies and tools to protect systems from specific attack vectors.,"Defensive strategy, Monitoring, Analysis, Security tools","Defensive system build, Continuous monitoring, Traffic analysis, Defense dashboard, Security report"
49,CISO,"Directs the overall cybersecurity vision, investment, and strategic risk management for the firm.","Leadership, Security strategy, Risk management, Business alignment","Security strategy roadmap, Enterprise risk framework, KPI dashboard, Policy system, Executive reporting"
50,Network Defense Strategist,Develops long-term defense-in-depth strategies for complex enterprise networks.,"Network security, Strategy, Threat landscape analysis, Architecture","Network defense strategy, Network architecture, Monitoring system, Strategic analysis, Defense report"
