Serial No._DM,Job Title_DM,Job Description_DM,Skillset_DM,Projects_DM
1,Digital Marketing Manager,"Plans, executes, and optimizes online marketing campaigns across multiple channels (SEO, social, email, paid ads) to drive traffic and conversions.","SEO, SEM, Google/Meta Ads, Analytics, Campaign strategy","Marketing strategy, Ad campaign, Performance dashboard, Funnel optimization, Campaign report"
2,SEO Specialist,"Optimizes websites to rank higher on search engines by improving content, technical SEO, and backlink authority.","Keyword research, On-page/Technical SEO, Link building, SEO tools, Analytics","SEO audit, Keyword research, Content optimization, Backlink strategy, Ranking tracker"
3,Performance Marketing Specialist,"Manages paid advertising campaigns specifically focused on ROI, conversions, and measurable business growth.","Google/Meta Ads, Conversion tracking, A/B testing, Funnel optimization, Data analysis","Simulated ad campaigns, Conversion funnel, A/B testing, CPC optimization, ROI dashboard"
4,Social Media Manager,"Manages brand presence across platforms (Instagram, LinkedIn, Twitter) focusing on engagement, community growth, and content.","Content planning, Algorithms, Analytics, Copywriting, Scheduling tools","Content calendar, Engagement metrics, Social growth strategy, Mock campaign, Brand voice guide"
5,Content Marketing Specialist,"Creates and distributes valuable, relevant content to attract and retain a clearly defined target audience.","Content writing, SEO, Storytelling, Research, Content strategy","Blog series, Content strategy, SEO content optimization, Content funnel, Audience research"
6,Email Marketing Specialist,"Designs and executes email campaigns to nurture leads, improve retention, and drive conversions through automation.","Email tools (Mailchimp, HubSpot), Copywriting, Automation, Segmentation, Analytics","Email funnel, Newsletter series, Automated workflows, A/B testing, Open rate analysis"
7,E-commerce Manager,"Oversees online store operations, product listings, pricing strategies, and sales performance.","Shopify/WooCommerce, Product management, Analytics, Pricing, Inventory management","Store build, Product listing optimization, Pricing strategy, Sales analysis, Conversion improvement"
8,Conversion Rate Optimization (CRO) Specialist,Improves website performance by increasing the percentage of visitors who perform a desired action.,"A/B testing, UX understanding, Analytics, Funnel optimization, Data interpretation","Website conversion audit, A/B testing, Funnel analysis, Landing page redesign, Conversion dashboard"
9,Affiliate Marketing Manager,Manages partnerships with affiliates to drive sales through performance-based marketing.,"Affiliate platforms, Partnership management, Tracking tools, Negotiation, Analytics","Affiliate program build, Affiliate recruitment, Performance tracking, Commission structure, Campaign analysis"
10,Marketplace Specialist,"Manages product listings, pricing, and advertising strategy on platforms like Amazon and Flipkart.","Marketplace algorithms, Product SEO, Ads (Amazon Ads), Pricing, Inventory","Amazon listing optimization, Marketplace ads, Keyword optimization, Competitor analysis, Sales dashboard"
11,PPC Specialist,"Manages paid advertising campaigns across search and social, focusing on maximizing ROI through precise bidding and targeting.","Google Ads, Keyword targeting, Bid strategies, Analytics, A/B testing","PPC campaign, Keyword research, Ad copy testing, Budget optimization, Performance analysis"
12,Growth Marketing Manager,"Focuses on rapid business growth through systematic experimentation, data analysis, and multi-channel strategies.","Growth hacking, Data analytics, Funnel optimization, A/B testing, Product marketing","Growth experiment plan, Funnel optimization, Acquisition strategy, Retention analysis, Growth dashboard"
13,Influencer Marketing Manager,Collaborates with influencers and creators to promote products and build brand awareness.,"Influencer outreach, Negotiation, Campaign management, Social media, Analytics","Influencer campaign, Outreach strategy, ROI analysis, Content collaboration, Performance tracking"
14,Dropshipping Specialist,"Manages dropshipping business operations, including supplier sourcing, product selection, and digital marketing.","Shopify, Product research, Paid ads, Supplier management, Analytics","Dropshipping store, Product research, Ad campaign, Supplier sourcing, Profit analysis"
15,Digital Advertising Strategist,Designs high-level advertising strategies across various digital platforms to achieve long-term business goals.,"Strategy, Paid ads, Analytics, Market research, Budget planning","Advertising plan, Budget allocation, Campaign design, ROI analysis, Market research"
16,UX/UI Designer (E-commerce),Designs user-friendly interfaces for online stores to improve customer experience and drive conversions.,"Figma, UX research, Prototyping, Design systems, User testing","Store UI design, Wireframes, UX audit, Prototype, Usability testing"
17,Product Listing Specialist,"Optimizes e-commerce product listings with titles, descriptions, and keywords to improve visibility.","SEO, Copywriting, Marketplace tools, Product research, Analytics","Listing optimization, Keyword research, Product descriptions, A/B testing, Competitor analysis"
18,Retention Marketing Specialist,Focuses on keeping existing customers engaged and increasing customer lifetime value (CLV).,"CRM tools, Email/SMS marketing, Customer segmentation, Analytics, Automation","Retention strategy, Email campaigns, Loyalty program, Customer segmentation, Churn analysis"
19,Brand Manager (Digital),"Builds and maintains a consistent, compelling brand identity across all digital platforms.","Branding, Content strategy, Communication, Social media, Analytics","Brand strategy, Visual identity, Content plan, Brand guidelines, Campaign"
20,Web Analytics Specialist,Analyzes website data and user behavior to improve site performance and marketing effectiveness.,"Google Analytics, Data analysis, Tracking tools, Reporting, CRO basics","Analytics dashboard, Funnel analysis, Traffic report, KPI tracking, User behavior study"
21,CRM Specialist,"Manages customer relationship systems to improve engagement, retention, and sales through personalization.","CRM tools (HubSpot, Salesforce), Automation, Data analysis, Segmentation, Email marketing","CRM setup, Customer segmentation, Automation workflow, Retention analysis, CRM dashboard"
22,E-commerce Analyst,"Analyzes sales, customer behavior, and inventory data to improve store profitability.","Data analysis, Excel/SQL, E-commerce metrics, Reporting, Visualization","Sales dashboard, Conversion analysis, Customer behavior study, Revenue forecasting, KPI tracking"
23,Funnel Builder Specialist,"Designs and builds marketing funnels (landing pages, emails, offers) to convert visitors into customers.","Funnel tools, Copywriting, CRO, Analytics, Landing pages","Sales funnel, Landing page, Email funnel, Conversion analysis, Funnel optimization"
24,Copywriter (Marketing),"Writes persuasive content for ads, emails, landing pages, and websites to drive specific actions.","Copywriting, Psychology, SEO, Storytelling, Research","Ad copy, Landing page copy, Email sequences, Sales page, Content testing"
25,Video Marketing Specialist,"Creates, manages, and distributes video content for marketing campaigns across platforms like YouTube and Instagram.","Video editing, Storytelling, Platform algorithms, Content strategy, Analytics","Video campaign, YouTube strategy, Short-form content, Editing project, Performance analysis"
26,Shopify Developer,"Builds and customizes Shopify stores using themes, apps, and code integrations.","Shopify, HTML/CSS/JS, Liquid, APIs, UX basics","Shopify store, Theme customization, Payment integration, App integration, Store optimization"
27,Marketplace Ads Specialist,Runs paid ads on marketplaces like Amazon/Flipkart to increase product visibility and sales.,"Amazon Ads, PPC, Keyword research, Analytics, Budgeting","Ad campaign, Keyword targeting, ROI analysis, Optimization, Dashboard"
28,Customer Experience (CX) Manager,"Ensures a smooth and positive customer journey across all touchpoints, from acquisition to support.","CX strategy, Communication, Analytics, Feedback systems, UX basics","Customer journey map, Feedback system, CX dashboard, Improvement plan, Case study"
29,Marketing Automation Specialist,Builds and manages automated marketing systems to improve efficiency and lead nurturing.,"Automation tools, CRM, Workflows, APIs, Analytics","Automation workflow, Email automation, Lead nurturing, Integration, Dashboard"
30,Performance Analyst (Marketing),Tracks and analyzes campaign performance data to optimize marketing ROI.,"Analytics, Data interpretation, Reporting, Excel/SQL, Visualization","Campaign analysis, KPI dashboard, ROI report, Optimization, A/B testing"
31,D2C Brand Manager,"Manages direct-to-consumer brand strategy, focusing on growth, positioning, and customer relationships.","Branding, E-commerce, Marketing, Analytics, Strategy","D2C strategy, Product launch, Brand campaign, Growth plan, Dashboard"
32,Landing Page Specialist,"Designs, builds, and optimizes high-converting landing pages for specific campaigns.","CRO, Copywriting, UX, Webflow, Analytics","Landing page, A/B testing, Optimization, Funnel integration, Analysis"
33,SEO Content Strategist,Plans and executes content strategies focused on organic traffic growth and search authority.,"SEO, Content planning, Keyword research, Analytics, Writing","Content plan, Keyword cluster, Blog strategy, SEO audit, Ranking analysis"
34,Mobile Marketing Specialist,Develops and manages marketing strategies focused on mobile apps and mobile-first users.,"App marketing, Push notifications, Analytics, ASO, Ads","App marketing plan, ASO optimization, Campaign, Retention strategy, Dashboard"
35,E-commerce Operations Manager,"Oversees daily logistics, inventory management, and order fulfillment for an online store.","Operations, Inventory, Logistics, Analytics, ERP tools","Inventory system, Order management, Logistics plan, Dashboard, Optimization"
36,Ad Creative Strategist,Designs visual and copy concepts for ads that drive high engagement and click-through rates.,"Creativity, Copywriting, Design basics, Analytics, Testing","Ad creatives, Testing plan, Campaign, Analysis, Optimization"
37,Influencer Outreach Specialist,"Identifies, communicates with, and manages partnerships with relevant influencers.","Communication, Research, Negotiation, CRM, Social media","Outreach campaign, Influencer list, Communication system, Tracking, Analysis"
38,Conversion Copywriter,"Specializes in writing high-converting copy for sales pages, email funnels, and ads.","Copywriting, Psychology, CRO, Research, Testing","Sales page, Ad copy, Email funnel, A/B testing, Optimization"
39,Online Reputation Manager,"Manages brand image through review monitoring, feedback, and proactive PR strategies.","Communication, Monitoring tools, PR, Analytics, Crisis handling","Reputation strategy, Review system, Monitoring dashboard, Case study, Response system"
40,Subscription Marketing Manager,"Manages subscription models focusing on recurring revenue, retention, and member engagement.","Subscription models, Analytics, CRM, Retention, Pricing","Subscription model, Retention strategy, Pricing analysis, Dashboard, Case study"
41,Google Ads Specialist,Manages paid search campaigns on Google to drive targeted traffic and conversions.,"Google Ads, Keyword research, Analytics, Bidding, Optimization","Campaign setup, Keyword plan, Optimization, Dashboard, ROI analysis"
42,Meta Ads Specialist,"Executes paid campaigns on Facebook and Instagram, managing targeting and creative performance.","Meta Ads, Targeting, Creative testing, Analytics, Budgeting","Ad campaign, Audience targeting, Creative testing, Analysis, Optimization"
43,Marketing Data Analyst,Analyzes marketing datasets to provide actionable insights for strategy and campaign optimization.,"SQL, Python, Analytics, Visualization, Reporting","Data dashboard, Campaign analysis, KPI tracking, Forecasting, Report"
44,E-commerce SEO Specialist,Focuses specifically on optimizing e-commerce product pages and categories for search visibility.,"SEO, Product optimization, Keyword research, Analytics, Tools","Product SEO, Keyword plan, Audit, Optimization, Ranking tracking"
45,Digital PR Specialist,Builds brand visibility and domain authority through online media coverage and backlinks.,"PR, Outreach, Writing, SEO, Networking","PR campaign, Outreach, Media list, Backlinks, Analysis"
46,Marketing Funnel Analyst,Analyzes funnel performance data to identify bottlenecks and optimize the user journey.,"Analytics, CRO, Funnel tools, Data interpretation, Reporting","Funnel analysis, Dashboard, Optimization, Testing, Report"
47,App Growth Manager,"Focuses on acquisition, onboarding, and retention strategies specifically for mobile apps.","Growth, Analytics, Ads, Retention, ASO","Growth strategy, Campaign, Retention model, Dashboard, Analysis"
48,Head of E-commerce,"Leads the end-to-end e-commerce strategy, managing operations, marketing, and revenue growth.","Leadership, Strategy, Analytics, Operations, Marketing","E-commerce strategy, Growth plan, Dashboard, Operations model, Report"
49,Performance Marketing Director,"Leads paid marketing departments, managing strategy, budgets, and large-scale ROI goals.","Strategy, Paid ads, Leadership, Analytics, Budgeting","Campaign strategy, Budget planning, Team structure, Dashboard, Analysis"
50,Chief Marketing Officer (CMO),"Directs the overall marketing strategy, brand positioning, and business growth for an organization.","Leadership, Strategy, Branding, Analytics, Decision-making","Marketing strategy, Brand positioning, Growth plan, KPI system, Executive report"
